Title,Body,Labels,Milestone,Priority,Status
"ISSUE-0001: Upgrade Node.js Environment to 20.x+","The current environment is running Node.js 18.19.1. However, the project's dependencies (Next.js 16/19) and the specific version of 'next lint' require Node.js >=20.9.0. This mismatch is currently blocking the execution of the CI/CD linting phase.","type:devops,priority:P1,status:Blocked,component:infra","M1 - Core Stabilization & Advanced Builder",P1,Blocked
"ISSUE-0002: Missing Vitest Coverage Dependency","Total project coverage is currently unmeasurable because the required coverage provider '@vitest/coverage-v8' is missing from the development dependencies.","type:test,priority:P2,status:Backlog,component:infra","M1 - Core Stabilization & Advanced Builder",P2,Backlog
"ISSUE-0003: Zero Logic Coverage for Core Hooks","The core business logic of the application resides in custom React hooks (useAuth, useForm, useForms), but they currently have 0% functional test coverage. The existing tests only verify that the hooks are functions.","type:test,priority:P1,status:Backlog,component:frontend","M1 - Core Stabilization & Advanced Builder",P1,Backlog
"ISSUE-0004: Resolve Documentation Linting Violations","Multiple markdown files are violating project style rules, primarily regarding heading hierarchy and table formatting.","type:docs,priority:P3,status:Backlog,component:docs","M1 - Core Stabilization & Advanced Builder",P3,Backlog
"ISSUE-0005: Implement Edge Case Validations in Form Builder","The form builder currently lacks frontend-level validation for several identified edge cases, which could lead to API errors or data corruption.","type:bug,priority:P2,status:Backlog,component:frontend","M1 - Core Stabilization & Advanced Builder",P2,Backlog
"ISSUE-0006: Implementation of Conditional Logic Engine","Users need to define rules for showing or hiding fields based on respondent answers. Currently, this capability is missing from the form builder.","type:feature,priority:P1,status:Planned,component:frontend","M1 - Core Stabilization & Advanced Builder",P1,Planned
"ISSUE-0007: Implementation of Response Data Export","Administrators need to export collected form responses for external analysis. While buttons exist in the UI, they are not integrated with the backend.","type:feature,priority:P1,status:Planned,component:frontend","M2 - Data Management & Orchestration",P1,Planned
"ISSUE-0008: AI Form Generation Assistant","To accelerate form creation, an AI assistant is required to generate form fields from natural language descriptions.","type:feature,priority:P2,status:Planned,component:frontend","M3 - Intelligence & Reach",P2,Planned
"ISSUE-0009: PWA Support","respondents need to access forms in environments with poor connectivity. PWA support will provide offline capabilities and an installable app experience.","type:feature,priority:P2,status:Planned,component:frontend","M3 - Intelligence & Reach",P2,Planned
"ISSUE-0010: Form Versioning UI Management","While the backend types support versioning, the frontend lacks the UI to switch between or manage multiple versions of a single form.","type:feature,priority:P2,status:Planned,component:frontend","M1 - Core Stabilization & Advanced Builder",P2,Planned
"ISSUE-0011: Workflow Automation (MVP)","Forms need to trigger external actions (like notifications) upon submission. Currently, there is no system to define or execute these workflows.","type:feature,priority:P2,status:Planned,component:frontend","M2 - Data Management & Orchestration",P2,Planned
"ISSUE-0012: Docker Non-Root User Execution","Current Docker configuration defaults to running as root inside the container, which is a security risk in production environments.","type:security,priority:P2,status:Backlog,component:infra","M1 - Core Stabilization & Advanced Builder",P2,Backlog
"ISSUE-0013: Setup GitHub Actions CI/CD Pipeline","The project lacks automated testing and deployment pipelines. All checks must currently be run manually.","type:devops,priority:P1,status:Backlog,component:infra","M1 - Core Stabilization & Advanced Builder",P1,Backlog
"ISSUE-0014: Core Hook Refactor & PR Remediation","Core hooks (useAuth, useForm) required refactoring for architectural consistency (absolute imports) and centralized API endpoint management.","type:feature,priority:P1,status:Done,component:frontend","M1 - Core Stabilization & Advanced Builder",P1,Done
